web-scraper-order,web-scraper-start-url,fecha,Hora,Condiciones meteorológicas,Tem,Viento,Hum,Presión,pagination
"1680310566-1529","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","00:00","Nubes dispersas","19°","11 km/h","68%","1018 hPa",""
"1680310566-1530","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","null","null","null","null","null","null",""
"1680310566-1531","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","00:30","Nubes dispersas","19°","13 km/h","64%","1018 hPa",""
"1680310566-1532","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","01:00","Nubes dispersas","19°","17 km/h","60%","1017 hPa",""
"1680310566-1533","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","01:30","Nubes dispersas","19°","13 km/h","60%","1017 hPa",""
"1680310566-1534","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","02:00","Nubes dispersas","19°","15 km/h","64%","1017 hPa",""
"1680310566-1535","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","02:30","Nubes dispersas","19°","15 km/h","64%","1017 hPa",""
"1680310566-1536","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","03:00","Nubes dispersas","18°","13 km/h","68%","1016 hPa",""
"1680310566-1537","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","03:30","Nubes dispersas","18°","15 km/h","68%","1016 hPa",""
"1680310566-1538","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","04:00","Nubes dispersas","19°","15 km/h","60%","1016 hPa",""
"1680310566-1539","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","04:30","Nubes dispersas","19°","17 km/h","60%","1016 hPa",""
"1680310566-1540","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","05:00","Mayormente cubierto","20°","17 km/h","56%","1016 hPa",""
"1680310566-1541","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","05:30","Parcialmente cubierto","19°","19 km/h","64%","1016 hPa",""
"1680310566-1542","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","06:00","Nubes dispersas","19°","15 km/h","64%","1016 hPa",""
"1680310566-1543","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","06:30","Parcialmente cubierto","19°","15 km/h","68%","1016 hPa",""
"1680310566-1544","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","07:00","Mayormente cubierto","20°","17 km/h","64%","1016 hPa",""
"1680310566-1545","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","07:30","Mayormente cubierto","20°","15 km/h","60%","1016 hPa",""
"1680310566-1546","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","08:00","Parcialmente cubierto","19°","13 km/h","64%","1017 hPa",""
"1680310566-1547","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","08:30","Parcialmente cubierto","20°","15 km/h","56%","1017 hPa",""
"1680310566-1548","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","09:00","Parcialmente cubierto","21°","13 km/h","53%","1017 hPa",""
"1680310566-1549","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","09:30","Parcialmente cubierto","21°","15 km/h","53%","1017 hPa",""
"1680310566-1550","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","10:00","Nubes dispersas","21°","19 km/h","53%","1017 hPa",""
"1680310566-1551","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","10:30","Nubes dispersas","22°","15 km/h","50%","1018 hPa",""
"1680310566-1552","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","11:00","Nubes dispersas","23°","17 km/h","47%","1017 hPa",""
"1680310566-1553","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","11:30","Nubes dispersas","23°","24 km/h","50%","1017 hPa",""
"1680310566-1554","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","12:00","Nubes dispersas","23°","32 km/h","53%","1016 hPa",""
"1680310566-1555","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","12:30","Nubes dispersas","24°","33 km/h","50%","1016 hPa",""
"1680310566-1556","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","13:00","Nubes dispersas","23°","39 km/h","53%","1015 hPa",""
"1680310566-1557","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","13:30","Nubes dispersas","23°","37 km/h","57%","1015 hPa",""
"1680310566-1558","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","14:00","Nubes dispersas","23°","35 km/h","57%","1015 hPa",""
"1680310566-1559","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","14:30","Nubes dispersas","23°","35 km/h","53%","1014 hPa",""
"1680310566-1560","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","15:00","Nubes dispersas","24°","35 km/h","50%","1014 hPa",""
"1680310566-1561","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","15:30","Nubes dispersas","24°","32 km/h","50%","1014 hPa",""
"1680310566-1562","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","16:00","Nubes dispersas","23°","32 km/h","53%","1014 hPa",""
"1680310566-1563","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","16:30","Nubes dispersas","23°","30 km/h","53%","1014 hPa",""
"1680310566-1564","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","17:00","Nubes dispersas","23°","26 km/h","53%","1014 hPa",""
"1680310566-1565","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","17:30","Parcialmente cubierto","22°","22 km/h","60%","1014 hPa",""
"1680310566-1566","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","18:00","Parcialmente cubierto","22°","20 km/h","57%","1014 hPa",""
"1680310566-1567","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","18:30","Parcialmente cubierto","22°","24 km/h","57%","1014 hPa",""
"1680310566-1568","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","19:00","Parcialmente cubierto","21°","22 km/h","64%","1014 hPa",""
"1680310566-1569","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","19:30","Parcialmente cubierto","21°","20 km/h","64%","1015 hPa",""
"1680310566-1570","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","20:00","Mayormente cubierto","20°","22 km/h","78%","1015 hPa",""
"1680310566-1571","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","20:30","Nubes dispersas","20°","17 km/h","78%","1015 hPa",""
"1680310566-1572","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","21:00","Mayormente cubierto","19°","2 km/h","83%","1016 hPa",""
"1680310566-1573","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","21:30","Mayormente cubierto","20°","9 km/h","78%","1016 hPa",""
"1680310566-1574","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","22:00","Mayormente cubierto","20°","11 km/h","73%","1015 hPa",""
"1680310566-1575","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","22:30","Llovizna","20°","9 km/h","78%","1016 hPa",""
"1680310566-1576","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","23:00","Parcialmente cubierto","20°","7 km/h","78%","1016 hPa",""
"1680310566-1577","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","23:30","Parcialmente cubierto","20°","9 km/h","73%","1015 hPa",""
"1680310569-1578","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","00:00","Parcialmente cubierto","20°","13 km/h","78%","1015 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680310569-1579","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","null","null","null","null","null","null","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680310569-1580","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","00:30","Parcialmente cubierto","19°","7 km/h","78%","1015 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680310569-1581","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","01:00","Nubes dispersas","19°","11 km/h","78%","1015 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680310569-1582","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","01:30","Nubes dispersas","19°","7 km/h","78%","1014 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680310569-1583","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","02:00","Nubes dispersas","18°","7 km/h","77%","1014 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680310569-1584","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","02:30","Parcialmente cubierto","18°","4 km/h","77%","1014 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680310569-1585","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","03:00","Nubes dispersas","19°","6 km/h","73%","1013 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680310569-1586","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","03:30","Nubes dispersas","18°","7 km/h","73%","1013 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680310569-1587","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","04:00","Nubes dispersas","18°","En calma","73%","1013 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680310569-1588","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","04:30","Parcialmente cubierto","19°","13 km/h","78%","1013 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680310569-1589","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","05:00","Mayormente cubierto","19°","15 km/h","78%","1013 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680310569-1590","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","05:30","Mayormente cubierto","19°","15 km/h","78%","1013 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680310569-1591","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","05:45","Lluvia","18°","22 km/h","94%","1013 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680310569-1592","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","06:00","Lluvia","18°","20 km/h","94%","1013 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680310569-1593","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","06:30","Mayormente cubierto","18°","13 km/h","94%","1013 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680310569-1594","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","07:00","Mayormente cubierto","18°","7 km/h","88%","1013 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680310569-1595","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","07:30","Llovizna","18°","7 km/h","94%","1013 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680310569-1596","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","08:00","Mayormente cubierto","18°","7 km/h","94%","1013 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680310569-1597","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","08:30","Mayormente cubierto","19°","11 km/h","88%","1014 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680310569-1598","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","08:40","Llovizna","19°","15 km/h","88%","1014 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680310569-1599","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","09:00","Llovizna","18°","13 km/h","94%","1014 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680310569-1600","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","09:30","Parcialmente cubierto","20°","11 km/h","78%","1014 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680310569-1601","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","10:00","Parcialmente cubierto","21°","22 km/h","78%","1014 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680310569-1602","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","10:30","Parcialmente cubierto","22°","17 km/h","69%","1014 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680310569-1603","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","11:00","Parcialmente cubierto","20°","22 km/h","83%","1014 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680310569-1604","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","11:30","Parcialmente cubierto","22°","20 km/h","69%","1014 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680310569-1605","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","12:00","Parcialmente cubierto","23°","26 km/h","61%","1014 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680310569-1606","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","12:30","Parcialmente cubierto","24°","24 km/h","61%","1013 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680310569-1607","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","13:00","Nubes dispersas","24°","26 km/h","54%","1012 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680310569-1608","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","13:30","Nubes dispersas","24°","26 km/h","50%","1012 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680310569-1609","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","14:00","Nubes dispersas","24°","33 km/h","54%","1011 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680310569-1610","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","14:30","Nubes dispersas","24°","32 km/h","50%","1011 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680310569-1611","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","15:00","Nubes dispersas","24°","33 km/h","54%","1011 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680310569-1612","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","15:30","Nubes dispersas","24°","35 km/h","50%","1011 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680310569-1613","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","16:00","Nubes dispersas","23°","32 km/h","53%","1011 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680310569-1614","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","16:30","Nubes dispersas","23°","26 km/h","53%","1011 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680310569-1615","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","17:00","Nubes dispersas","22°","28 km/h","60%","1011 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680310569-1616","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","17:30","Llovizna","20°","24 km/h","83%","1011 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680310569-1617","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","18:00","Llovizna","20°","17 km/h","78%","1011 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680310569-1618","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","18:30","Parcialmente cubierto","20°","26 km/h","78%","1011 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680310569-1619","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","19:00","Nubes dispersas","20°","20 km/h","73%","1011 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680310569-1620","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","19:30","Nubes dispersas","20°","19 km/h","73%","1012 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680310569-1621","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","20:00","Nubes dispersas","20°","20 km/h","73%","1012 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680310569-1622","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","20:30","Parcialmente cubierto","20°","13 km/h","73%","1012 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680310569-1623","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","21:00","Nubes dispersas","19°","13 km/h","78%","1012 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680310569-1624","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","21:30","Nubes dispersas","19°","13 km/h","78%","1012 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680310569-1625","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","22:00","Nubes dispersas","19°","17 km/h","83%","1012 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680310569-1626","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","22:30","Parcialmente cubierto","19°","13 km/h","78%","1012 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680310569-1627","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","23:00","Nubes dispersas","19°","15 km/h","73%","1012 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680310569-1628","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","23:30","Nubes dispersas","19°","11 km/h","73%","1012 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680310571-1629","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","00:00","Parcialmente cubierto","19°","9 km/h","78%","1012 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680310571-1630","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","null","null","null","null","null","null","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680310571-1631","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","00:30","Parcialmente cubierto","18°","7 km/h","77%","1012 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680310571-1632","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","01:00","Parcialmente cubierto","18°","7 km/h","83%","1011 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680310571-1633","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","01:30","Parcialmente cubierto","18°","9 km/h","88%","1011 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680310571-1634","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","02:00","Parcialmente cubierto","19°","15 km/h","78%","1011 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680310571-1635","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","02:30","Mayormente cubierto","19°","9 km/h","73%","1011 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680310571-1636","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","03:00","Mayormente cubierto","19°","7 km/h","73%","1011 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680310571-1637","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","03:30","Mayormente cubierto","19°","7 km/h","73%","1010 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680310571-1638","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","04:00","Mayormente cubierto","19°","4 km/h","73%","1010 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680310571-1639","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","04:30","Parcialmente cubierto","19°","2 km/h","73%","1010 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680310571-1640","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","05:00","Parcialmente cubierto","18°","2 km/h","77%","1010 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680310571-1641","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","05:30","Parcialmente cubierto","18°","6 km/h","77%","1010 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680310571-1642","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","06:00","Mayormente cubierto","19°","9 km/h","78%","1010 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680310571-1643","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","06:30","Parcialmente cubierto","19°","6 km/h","73%","1010 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680310571-1644","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","07:00","Parcialmente cubierto","18°","7 km/h","77%","1010 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680310571-1645","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","07:30","Mayormente cubierto","19°","7 km/h","78%","1010 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680310571-1646","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","08:00","Mayormente cubierto","19°","7 km/h","78%","1011 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680310571-1647","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","08:30","Mayormente cubierto","20°","En calma","73%","1011 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680310571-1648","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","09:00","Llovizna","19°","19 km/h","83%","1011 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680310571-1649","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","09:30","Mayormente cubierto","19°","13 km/h","83%","1011 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680310571-1650","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","10:00","Mayormente cubierto","20°","15 km/h","78%","1012 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680310571-1651","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","10:30","Parcialmente cubierto","20°","19 km/h","78%","1012 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680310571-1652","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","11:00","Mayormente cubierto","21°","13 km/h","73%","1011 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680310571-1653","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","11:30","Mayormente cubierto","21°","17 km/h","73%","1011 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680310571-1654","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","12:00","Mayormente cubierto","21°","20 km/h","78%","1011 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680310571-1655","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","12:30","Mayormente cubierto","21°","19 km/h","73%","1011 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680310571-1656","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","13:00","Mayormente cubierto","21°","17 km/h","69%","1010 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
