web-scraper-order,web-scraper-start-url,pagination,Hora,Tem,Hum,fecha
"1679676782-2942","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/9-diciembre-2019.html","12:30","21°","64%","Lunes 9 Diciembre 2019"
"1679676782-2943","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/9-diciembre-2019.html","13:00","22°","60%","Lunes 9 Diciembre 2019"
"1679676782-2944","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/9-diciembre-2019.html","13:30","21°","64%","Lunes 9 Diciembre 2019"
"1679676782-2945","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/9-diciembre-2019.html","14:00","21°","69%","Lunes 9 Diciembre 2019"
"1679676782-2946","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/9-diciembre-2019.html","14:30","22°","60%","Lunes 9 Diciembre 2019"
"1679676782-2947","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/9-diciembre-2019.html","15:00","21°","64%","Lunes 9 Diciembre 2019"
"1679676782-2948","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/9-diciembre-2019.html","15:30","21°","64%","Lunes 9 Diciembre 2019"
"1679676782-2949","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/9-diciembre-2019.html","16:00","21°","60%","Lunes 9 Diciembre 2019"
"1679676782-2950","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/9-diciembre-2019.html","16:30","21°","64%","Lunes 9 Diciembre 2019"
"1679676782-2951","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/9-diciembre-2019.html","17:00","20°","68%","Lunes 9 Diciembre 2019"
"1679676782-2952","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/9-diciembre-2019.html","17:30","20°","68%","Lunes 9 Diciembre 2019"
"1679676782-2953","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/9-diciembre-2019.html","18:00","20°","68%","Lunes 9 Diciembre 2019"
"1679676782-2954","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/9-diciembre-2019.html","18:30","19°","73%","Lunes 9 Diciembre 2019"
"1679676782-2955","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/9-diciembre-2019.html","19:00","19°","73%","Lunes 9 Diciembre 2019"
"1679676782-2956","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/9-diciembre-2019.html","19:30","19°","73%","Lunes 9 Diciembre 2019"
"1679676782-2957","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/9-diciembre-2019.html","20:00","19°","73%","Lunes 9 Diciembre 2019"
"1679676782-2958","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/9-diciembre-2019.html","20:30","19°","73%","Lunes 9 Diciembre 2019"
"1679676782-2959","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/9-diciembre-2019.html","21:00","19°","73%","Lunes 9 Diciembre 2019"
"1679676782-2960","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/9-diciembre-2019.html","21:30","19°","73%","Lunes 9 Diciembre 2019"
"1679676782-2961","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/9-diciembre-2019.html","22:00","19°","73%","Lunes 9 Diciembre 2019"
"1679676782-2962","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/9-diciembre-2019.html","22:30","18°","77%","Lunes 9 Diciembre 2019"
"1679676782-2963","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/9-diciembre-2019.html","23:00","18°","73%","Lunes 9 Diciembre 2019"
"1679676782-2964","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/9-diciembre-2019.html","23:30","18°","73%","Lunes 9 Diciembre 2019"
"1679676784-2965","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/10-diciembre-2019.html","00:00","18°","73%","Martes 10 Diciembre 2019"
"1679676784-2966","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/10-diciembre-2019.html","null","null","null","Martes 10 Diciembre 2019"
"1679676784-2967","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/10-diciembre-2019.html","00:30","18°","73%","Martes 10 Diciembre 2019"
"1679676784-2968","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/10-diciembre-2019.html","01:00","18°","68%","Martes 10 Diciembre 2019"
"1679676784-2969","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/10-diciembre-2019.html","01:30","18°","73%","Martes 10 Diciembre 2019"
"1679676784-2970","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/10-diciembre-2019.html","02:00","17°","72%","Martes 10 Diciembre 2019"
"1679676784-2971","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/10-diciembre-2019.html","02:30","18°","68%","Martes 10 Diciembre 2019"
"1679676784-2972","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/10-diciembre-2019.html","03:00","18°","68%","Martes 10 Diciembre 2019"
"1679676784-2973","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/10-diciembre-2019.html","03:30","18°","68%","Martes 10 Diciembre 2019"
"1679676784-2974","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/10-diciembre-2019.html","04:00","18°","68%","Martes 10 Diciembre 2019"
"1679676784-2975","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/10-diciembre-2019.html","04:30","18°","68%","Martes 10 Diciembre 2019"
"1679676784-2976","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/10-diciembre-2019.html","05:00","18°","68%","Martes 10 Diciembre 2019"
"1679676784-2977","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/10-diciembre-2019.html","05:30","18°","68%","Martes 10 Diciembre 2019"
"1679676784-2978","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/10-diciembre-2019.html","06:00","18°","68%","Martes 10 Diciembre 2019"
"1679676784-2979","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/10-diciembre-2019.html","06:30","17°","68%","Martes 10 Diciembre 2019"
"1679676784-2980","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/10-diciembre-2019.html","07:00","17°","72%","Martes 10 Diciembre 2019"
"1679676784-2981","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/10-diciembre-2019.html","07:30","17°","72%","Martes 10 Diciembre 2019"
"1679676784-2982","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/10-diciembre-2019.html","08:00","17°","72%","Martes 10 Diciembre 2019"
"1679676784-2983","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/10-diciembre-2019.html","08:30","18°","73%","Martes 10 Diciembre 2019"
"1679676784-2984","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/10-diciembre-2019.html","09:00","18°","73%","Martes 10 Diciembre 2019"
"1679676784-2985","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/10-diciembre-2019.html","09:30","19°","68%","Martes 10 Diciembre 2019"
"1679676784-2986","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/10-diciembre-2019.html","10:00","20°","68%","Martes 10 Diciembre 2019"
"1679676784-2987","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/10-diciembre-2019.html","10:30","21°","64%","Martes 10 Diciembre 2019"
"1679676784-2988","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/10-diciembre-2019.html","11:00","21°","64%","Martes 10 Diciembre 2019"
"1679676784-2989","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/10-diciembre-2019.html","11:30","21°","69%","Martes 10 Diciembre 2019"
"1679676784-2990","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/10-diciembre-2019.html","12:00","21°","64%","Martes 10 Diciembre 2019"
"1679676784-2991","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/10-diciembre-2019.html","12:30","21°","64%","Martes 10 Diciembre 2019"
"1679676784-2992","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/10-diciembre-2019.html","13:00","21°","60%","Martes 10 Diciembre 2019"
"1679676784-2993","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/10-diciembre-2019.html","13:30","21°","64%","Martes 10 Diciembre 2019"
"1679676784-2994","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/10-diciembre-2019.html","14:00","21°","64%","Martes 10 Diciembre 2019"
"1679676784-2995","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/10-diciembre-2019.html","14:30","21°","64%","Martes 10 Diciembre 2019"
"1679676784-2996","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/10-diciembre-2019.html","15:00","21°","69%","Martes 10 Diciembre 2019"
"1679676784-2997","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/10-diciembre-2019.html","15:30","21°","69%","Martes 10 Diciembre 2019"
"1679676784-2998","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/10-diciembre-2019.html","16:00","21°","64%","Martes 10 Diciembre 2019"
"1679676784-2999","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/10-diciembre-2019.html","16:30","21°","69%","Martes 10 Diciembre 2019"
"1679676784-3000","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/10-diciembre-2019.html","17:00","21°","69%","Martes 10 Diciembre 2019"
"1679676784-3001","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/10-diciembre-2019.html","17:30","20°","68%","Martes 10 Diciembre 2019"
"1679676784-3002","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/10-diciembre-2019.html","18:00","20°","68%","Martes 10 Diciembre 2019"
"1679676784-3003","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/10-diciembre-2019.html","18:30","20°","73%","Martes 10 Diciembre 2019"
"1679676784-3004","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/10-diciembre-2019.html","19:00","20°","73%","Martes 10 Diciembre 2019"
"1679676784-3005","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/10-diciembre-2019.html","19:30","20°","73%","Martes 10 Diciembre 2019"
"1679676784-3006","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/10-diciembre-2019.html","20:00","20°","73%","Martes 10 Diciembre 2019"
"1679676784-3007","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/10-diciembre-2019.html","20:30","20°","73%","Martes 10 Diciembre 2019"
"1679676784-3008","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/10-diciembre-2019.html","21:00","20°","78%","Martes 10 Diciembre 2019"
"1679676784-3009","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/10-diciembre-2019.html","21:30","20°","78%","Martes 10 Diciembre 2019"
"1679676784-3010","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/10-diciembre-2019.html","22:00","20°","68%","Martes 10 Diciembre 2019"
"1679676784-3011","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/10-diciembre-2019.html","22:30","20°","73%","Martes 10 Diciembre 2019"
"1679676784-3012","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/10-diciembre-2019.html","23:00","20°","73%","Martes 10 Diciembre 2019"
"1679676784-3013","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/10-diciembre-2019.html","23:30","20°","73%","Martes 10 Diciembre 2019"
"1679676787-3014","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/11-diciembre-2019.html","00:00","19°","73%","Miércoles 11 Diciembre 2019"
"1679676787-3015","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/11-diciembre-2019.html","null","null","null","Miércoles 11 Diciembre 2019"
"1679676787-3016","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/11-diciembre-2019.html","00:30","20°","73%","Miércoles 11 Diciembre 2019"
"1679676787-3017","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/11-diciembre-2019.html","01:00","19°","78%","Miércoles 11 Diciembre 2019"
"1679676787-3018","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/11-diciembre-2019.html","01:30","19°","78%","Miércoles 11 Diciembre 2019"
"1679676787-3019","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/11-diciembre-2019.html","02:00","19°","78%","Miércoles 11 Diciembre 2019"
"1679676787-3020","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/11-diciembre-2019.html","02:30","19°","78%","Miércoles 11 Diciembre 2019"
"1679676787-3021","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/11-diciembre-2019.html","03:00","19°","78%","Miércoles 11 Diciembre 2019"
"1679676787-3022","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/11-diciembre-2019.html","03:30","18°","83%","Miércoles 11 Diciembre 2019"
"1679676787-3023","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/11-diciembre-2019.html","04:00","18°","77%","Miércoles 11 Diciembre 2019"
"1679676787-3024","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/11-diciembre-2019.html","04:30","18°","77%","Miércoles 11 Diciembre 2019"
"1679676787-3025","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/11-diciembre-2019.html","05:00","18°","77%","Miércoles 11 Diciembre 2019"
"1679676787-3026","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/11-diciembre-2019.html","05:30","18°","83%","Miércoles 11 Diciembre 2019"
"1679676787-3027","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/11-diciembre-2019.html","06:00","18°","83%","Miércoles 11 Diciembre 2019"
"1679676787-3028","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/11-diciembre-2019.html","06:30","18°","83%","Miércoles 11 Diciembre 2019"
"1679676787-3029","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/11-diciembre-2019.html","07:00","18°","77%","Miércoles 11 Diciembre 2019"
"1679676787-3030","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/11-diciembre-2019.html","07:30","18°","77%","Miércoles 11 Diciembre 2019"
"1679676787-3031","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/11-diciembre-2019.html","08:00","18°","77%","Miércoles 11 Diciembre 2019"
"1679676787-3032","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/11-diciembre-2019.html","08:30","19°","73%","Miércoles 11 Diciembre 2019"
"1679676787-3033","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/11-diciembre-2019.html","09:00","20°","73%","Miércoles 11 Diciembre 2019"
"1679676787-3034","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/11-diciembre-2019.html","09:30","20°","73%","Miércoles 11 Diciembre 2019"
"1679676787-3035","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/11-diciembre-2019.html","10:00","20°","73%","Miércoles 11 Diciembre 2019"
"1679676787-3036","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/11-diciembre-2019.html","10:30","21°","69%","Miércoles 11 Diciembre 2019"
"1679676787-3037","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/11-diciembre-2019.html","11:00","21°","69%","Miércoles 11 Diciembre 2019"
"1679676787-3038","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/11-diciembre-2019.html","11:30","21°","69%","Miércoles 11 Diciembre 2019"
"1679676787-3039","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/11-diciembre-2019.html","12:00","21°","69%","Miércoles 11 Diciembre 2019"
"1679676787-3040","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/11-diciembre-2019.html","12:30","22°","64%","Miércoles 11 Diciembre 2019"
"1679676787-3041","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/11-diciembre-2019.html","13:00","22°","64%","Miércoles 11 Diciembre 2019"
"1679676787-3042","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/11-diciembre-2019.html","13:30","22°","64%","Miércoles 11 Diciembre 2019"
"1679676787-3043","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/11-diciembre-2019.html","14:00","22°","60%","Miércoles 11 Diciembre 2019"
"1679676787-3044","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/11-diciembre-2019.html","14:30","21°","69%","Miércoles 11 Diciembre 2019"
"1679676787-3045","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/11-diciembre-2019.html","15:00","21°","64%","Miércoles 11 Diciembre 2019"
"1679676787-3046","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/11-diciembre-2019.html","15:30","21°","64%","Miércoles 11 Diciembre 2019"
"1679676787-3047","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/11-diciembre-2019.html","16:00","21°","64%","Miércoles 11 Diciembre 2019"
"1679676787-3048","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/11-diciembre-2019.html","16:30","20°","73%","Miércoles 11 Diciembre 2019"
"1679676787-3049","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/11-diciembre-2019.html","17:00","20°","68%","Miércoles 11 Diciembre 2019"
"1679676787-3050","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/11-diciembre-2019.html","17:30","20°","68%","Miércoles 11 Diciembre 2019"
"1679676787-3051","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/11-diciembre-2019.html","18:00","19°","68%","Miércoles 11 Diciembre 2019"
"1679676787-3052","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/11-diciembre-2019.html","18:30","19°","68%","Miércoles 11 Diciembre 2019"
"1679676787-3053","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/11-diciembre-2019.html","19:00","19°","68%","Miércoles 11 Diciembre 2019"
"1679676787-3054","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/11-diciembre-2019.html","19:30","19°","64%","Miércoles 11 Diciembre 2019"
"1679676787-3055","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/11-diciembre-2019.html","20:00","19°","64%","Miércoles 11 Diciembre 2019"
"1679676787-3056","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/11-diciembre-2019.html","20:30","19°","64%","Miércoles 11 Diciembre 2019"
"1679676787-3057","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/11-diciembre-2019.html","21:00","19°","68%","Miércoles 11 Diciembre 2019"
"1679676787-3058","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/11-diciembre-2019.html","21:30","19°","64%","Miércoles 11 Diciembre 2019"
"1679676787-3059","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/11-diciembre-2019.html","22:00","19°","64%","Miércoles 11 Diciembre 2019"
"1679676787-3060","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/11-diciembre-2019.html","22:30","18°","68%","Miércoles 11 Diciembre 2019"
"1679676787-3061","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/11-diciembre-2019.html","23:00","19°","64%","Miércoles 11 Diciembre 2019"
"1679676787-3062","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/11-diciembre-2019.html","23:30","19°","64%","Miércoles 11 Diciembre 2019"
"1679676789-3063","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/12-diciembre-2019.html","00:00","18°","68%","Jueves 12 Diciembre 2019"
"1679676789-3064","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/12-diciembre-2019.html","null","null","null","Jueves 12 Diciembre 2019"
"1679676789-3065","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/12-diciembre-2019.html","00:30","18°","68%","Jueves 12 Diciembre 2019"
"1679676789-3066","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/12-diciembre-2019.html","01:00","18°","73%","Jueves 12 Diciembre 2019"
"1679676789-3067","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/12-diciembre-2019.html","01:30","18°","73%","Jueves 12 Diciembre 2019"
"1679676789-3068","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/12-diciembre-2019.html","02:00","18°","73%","Jueves 12 Diciembre 2019"
"1679676789-3069","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/12-diciembre-2019.html","02:30","18°","73%","Jueves 12 Diciembre 2019"
"1679676789-3070","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/12-diciembre-2019.html","03:00","18°","68%","Jueves 12 Diciembre 2019"
"1679676789-3071","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/12-diciembre-2019.html","03:30","18°","73%","Jueves 12 Diciembre 2019"
"1679676789-3072","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/12-diciembre-2019.html","04:00","18°","73%","Jueves 12 Diciembre 2019"
"1679676789-3073","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/12-diciembre-2019.html","04:30","18°","73%","Jueves 12 Diciembre 2019"
"1679676789-3074","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/12-diciembre-2019.html","05:00","18°","73%","Jueves 12 Diciembre 2019"
"1679676789-3075","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/12-diciembre-2019.html","05:30","18°","73%","Jueves 12 Diciembre 2019"
"1679676789-3076","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/12-diciembre-2019.html","06:00","18°","73%","Jueves 12 Diciembre 2019"
"1679676789-3077","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/12-diciembre-2019.html","06:30","18°","73%","Jueves 12 Diciembre 2019"
"1679676789-3078","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/12-diciembre-2019.html","07:00","18°","73%","Jueves 12 Diciembre 2019"
"1679676789-3079","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/12-diciembre-2019.html","07:30","18°","73%","Jueves 12 Diciembre 2019"
"1679676789-3080","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/12-diciembre-2019.html","08:00","18°","73%","Jueves 12 Diciembre 2019"
"1679676789-3081","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/12-diciembre-2019.html","08:30","18°","73%","Jueves 12 Diciembre 2019"
"1679676789-3082","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/12-diciembre-2019.html","09:00","19°","68%","Jueves 12 Diciembre 2019"
"1679676789-3083","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","https://www.tutiempo.net/registros/gclp/12-diciembre-2019.html","09:30","19°","68%","Jueves 12 Diciembre 2019"
