LOCALIZATION,DAY,MONTH,YEAR,WEEKDAY,SCHOOLDAY,HOLIDAY,HOUR,TEMPERATURE,HUMIDITY,CHECK IN,CHECK OUT
SAN BERNARDO,31,12,2022,5,True,False,23,18,88,0,2
SAN BERNARDO,31,12,2022,5,True,False,22,18,88,0,1
SAN BERNARDO,31,12,2022,5,True,False,21,18,83,19,12
SAN BERNARDO,31,12,2022,5,True,False,20,19,78,25,31
SAN BERNARDO,31,12,2022,5,True,False,19,20,78,15,63
SAN BERNARDO,31,12,2022,5,True,False,18,21,69,14,88
SAN BERNARDO,31,12,2022,5,True,False,17,21,69,26,53
SAN BERNARDO,31,12,2022,5,True,False,16,22,64,41,60
SAN BERNARDO,31,12,2022,5,True,False,15,23,57,45,58
SAN BERNARDO,31,12,2022,5,True,False,14,23,61,97,60
SAN BERNARDO,31,12,2022,5,True,False,13,23,57,105,88
SAN BERNARDO,31,12,2022,5,True,False,12,23,50,101,60
SAN BERNARDO,31,12,2022,5,True,False,11,23,50,82,60
SAN BERNARDO,31,12,2022,5,True,False,10,22,57,91,37
SAN BERNARDO,31,12,2022,5,True,False,9,20,64,36,5
SAN BERNARDO,31,12,2022,5,True,False,8,19,68,16,12
SAN BERNARDO,31,12,2022,5,True,False,7,20,64,4,4
SAN BERNARDO,31,12,2022,5,True,False,6,20,60,2,0
SAN BERNARDO,31,12,2022,5,True,False,5,19,64,1,2
SAN BERNARDO,31,12,2022,5,True,False,4,19,64,0,3
SAN BERNARDO,31,12,2022,5,True,False,3,20,56,1,3
SAN BERNARDO,31,12,2022,5,True,False,2,20,64,1,16
SAN BERNARDO,31,12,2022,5,True,False,1,19,73,1,22
SAN BERNARDO,31,12,2022,5,True,False,0,19,73,8,47
SAN BERNARDO,30,12,2022,4,False,False,23,18,77,11,66
SAN BERNARDO,30,12,2022,4,False,False,22,19,73,16,50
SAN BERNARDO,30,12,2022,4,False,False,21,20,68,59,86
SAN BERNARDO,30,12,2022,4,False,False,20,21,56,90,91
SAN BERNARDO,30,12,2022,4,False,False,19,20,73,65,64
SAN BERNARDO,30,12,2022,4,False,False,18,22,57,84,84
SAN BERNARDO,30,12,2022,4,False,False,17,22,60,76,84
SAN BERNARDO,30,12,2022,4,False,False,16,22,64,66,65
SAN BERNARDO,30,12,2022,4,False,False,15,24,54,65,65
SAN BERNARDO,30,12,2022,4,False,False,14,24,54,97,91
SAN BERNARDO,30,12,2022,4,False,False,13,24,50,107,110
SAN BERNARDO,30,12,2022,4,False,False,12,23,65,93,96
SAN BERNARDO,30,12,2022,4,False,False,11,22,69,117,81
SAN BERNARDO,30,12,2022,4,False,False,10,22,60,105,44
SAN BERNARDO,30,12,2022,4,False,False,9,21,60,79,26
SAN BERNARDO,30,12,2022,4,False,False,8,19,73,55,11
SAN BERNARDO,30,12,2022,4,False,False,7,19,68,16,8
SAN BERNARDO,30,12,2022,4,False,False,6,20,64,5,1
SAN BERNARDO,30,12,2022,4,False,False,5,20,64,1,6
SAN BERNARDO,30,12,2022,4,False,False,4,21,64,0,2
SAN BERNARDO,30,12,2022,4,False,False,3,20,64,0,4
SAN BERNARDO,30,12,2022,4,False,False,2,21,64,3,4
SAN BERNARDO,30,12,2022,4,False,False,1,20,68,0,13
SAN BERNARDO,30,12,2022,4,False,False,0,20,64,2,37
SAN BERNARDO,29,12,2022,3,False,False,23,21,64,4,61
SAN BERNARDO,29,12,2022,3,False,False,22,21,69,12,62
SAN BERNARDO,29,12,2022,3,False,False,21,21,73,46,82
SAN BERNARDO,29,12,2022,3,False,False,20,21,69,98,97
SAN BERNARDO,29,12,2022,3,False,False,19,22,60,79,78
SAN BERNARDO,29,12,2022,3,False,False,18,22,64,89,87
SAN BERNARDO,29,12,2022,3,False,False,17,22,64,88,85
SAN BERNARDO,29,12,2022,3,False,False,16,22,60,83,81
SAN BERNARDO,29,12,2022,3,False,False,15,23,57,79,81
SAN BERNARDO,29,12,2022,3,False,False,14,24,50,87,80
SAN BERNARDO,29,12,2022,3,False,False,13,23,57,110,105
SAN BERNARDO,29,12,2022,3,False,False,12,23,61,89,98
SAN BERNARDO,29,12,2022,3,False,False,11,23,57,98,89
SAN BERNARDO,29,12,2022,3,False,False,10,22,50,120,63
SAN BERNARDO,29,12,2022,3,False,False,9,21,49,101,21
SAN BERNARDO,29,12,2022,3,False,False,8,20,49,60,12
SAN BERNARDO,29,12,2022,3,False,False,7,20,56,14,3
SAN BERNARDO,29,12,2022,3,False,False,6,19,60,3,2
SAN BERNARDO,29,12,2022,3,False,False,5,21,60,1,1
SAN BERNARDO,29,12,2022,3,False,False,4,20,60,0,0
SAN BERNARDO,29,12,2022,3,False,False,3,22,50,1,0
SAN BERNARDO,29,12,2022,3,False,False,2,21,53,0,2
SAN BERNARDO,29,12,2022,3,False,False,1,21,49,1,8
SAN BERNARDO,29,12,2022,3,False,False,0,21,53,0,39
SAN BERNARDO,28,12,2022,2,False,False,23,21,53,8,63
SAN BERNARDO,28,12,2022,2,False,False,22,21,53,16,58
SAN BERNARDO,28,12,2022,2,False,False,21,21,53,17,63
SAN BERNARDO,28,12,2022,2,False,False,20,21,53,84,105
SAN BERNARDO,28,12,2022,2,False,False,19,22,50,94,95
SAN BERNARDO,28,12,2022,2,False,False,18,23,50,73,74
SAN BERNARDO,28,12,2022,2,False,False,17,23,53,99,97
SAN BERNARDO,28,12,2022,2,False,False,16,23,57,88,88
SAN BERNARDO,28,12,2022,2,False,False,15,23,65,76,74
SAN BERNARDO,28,12,2022,2,False,False,14,23,61,75,70
SAN BERNARDO,28,12,2022,2,False,False,13,24,54,105,107
SAN BERNARDO,28,12,2022,2,False,False,12,23,61,104,104
SAN BERNARDO,28,12,2022,2,False,False,11,22,64,98,79
SAN BERNARDO,28,12,2022,2,False,False,10,22,57,119,61
SAN BERNARDO,28,12,2022,2,False,False,9,21,60,100,33
SAN BERNARDO,28,12,2022,2,False,False,8,21,60,54,11
SAN BERNARDO,28,12,2022,2,False,False,7,21,64,19,5
SAN BERNARDO,28,12,2022,2,False,False,6,21,60,4,3
SAN BERNARDO,28,12,2022,2,False,False,5,21,60,0,0
SAN BERNARDO,28,12,2022,2,False,False,4,20,68,0,0
SAN BERNARDO,28,12,2022,2,False,False,3,20,68,0,0
SAN BERNARDO,28,12,2022,2,False,False,2,21,60,0,0
SAN BERNARDO,28,12,2022,2,False,False,1,20,64,1,2
SAN BERNARDO,28,12,2022,2,False,False,0,20,64,1,8
SAN BERNARDO,27,12,2022,1,False,False,23,22,53,1,35
SAN BERNARDO,27,12,2022,1,False,False,22,22,50,7,42
SAN BERNARDO,27,12,2022,1,False,False,21,22,50,18,58
SAN BERNARDO,27,12,2022,1,False,False,20,22,38,45,91
SAN BERNARDO,27,12,2022,1,False,False,19,21,40,71,104
SAN BERNARDO,27,12,2022,1,False,False,18,20,60,99,98
SAN BERNARDO,27,12,2022,1,False,False,17,22,60,101,98
SAN BERNARDO,27,12,2022,1,False,False,16,22,57,74,71
SAN BERNARDO,27,12,2022,1,False,False,15,22,50,66,66
SAN BERNARDO,27,12,2022,1,False,False,14,22,46,85,79
SAN BERNARDO,27,12,2022,1,False,False,13,21,49,114,119
SAN BERNARDO,27,12,2022,1,False,False,12,21,53,108,116
SAN BERNARDO,27,12,2022,1,False,False,11,21,56,118,96
SAN BERNARDO,27,12,2022,1,False,False,10,21,53,120,64
SAN BERNARDO,27,12,2022,1,False,False,9,21,56,101,36
SAN BERNARDO,27,12,2022,1,False,False,8,21,56,57,13
SAN BERNARDO,27,12,2022,1,False,False,7,21,53,24,9
SAN BERNARDO,27,12,2022,1,False,False,6,21,56,8,2
